[0,0.000628329]
[0.000628319,0.00125665]
[0.00125664,0.00188497]
[0.00188496,0.00251328]
[0.00251327,0.0031416]
[0.00314159,0.00376992]
[0.00376991,0.00439824]
[0.00439823,0.00502656]
[0.00502655,0.00565488]
[0.00565487,0.0062832]
[0.00628319,0.00691151]
[0.0069115,0.00753983]
[0.00753982,0.00816815]
[0.00816814,0.00879647]
[0.00879646,0.00942479]
[0.00942478,0.0100531]
[0.0100531,0.0106814]
[0.0106814,0.0113097]
[0.0113097,0.0119381]
[0.0119381,0.0125664]
[0.0125664,0.0131947]
[0.0131947,0.013823]
[0.013823,0.0144513]
[0.0144513,0.0150797]
[0.0150796,0.015708]
[0.015708,0.0163363]
[0.0163363,0.0169646]
[0.0169646,0.0175929]
[0.0175929,0.0182212]
[0.0182212,0.0188496]
[0.0188496,0.0194779]
[0.0194779,0.0201062]
[0.0201062,0.0207345]
[0.0207345,0.0213628]
[0.921743,0.922372]
[0.922372,0.923]
[0.923,0.923628]
[0.923628,0.924257]
[0.924257,0.924885]
[0.924885,0.925513]
[0.925513,0.926142]
[0.926142,0.92677]
[0.92677,0.927398]
[0.927398,0.928026]
[0.928026,0.928655]
[0.928655,0.929283]
[0.929283,0.929911]
[0.929911,0.93054]
[0.93054,0.931168]
[0.931168,0.931796]
[0.931796,0.932425]
[0.932425,0.933053]
[0.933053,0.933681]
[0.933681,0.93431]
[0.93431,0.934938]
[0.934938,0.935566]
[0.935566,0.936195]
[0.936195,0.936823]
[0.936823,0.937451]
[0.937451,0.93808]
[0.93808,0.938708]
[0.938708,0.939336]
[0.939336,0.939965]
[0.939965,0.940593]
[0.940593,0.941221]
[0.941221,0.941849]
[0.941849,0.942478]
[0.942478,0.943106]
[0.943106,0.943734]
[0.943734,0.944363]
[0.944363,0.944991]
[0.944991,0.945619]
[0.945619,0.946248]
[0.946248,0.946876]
[0.946876,0.947504]
[0.947504,0.948133]
[0.948133,0.948761]
[0.948761,0.949389]
[0.949389,0.950018]
[0.950018,0.950646]
[0.950646,0.951274]
[0.951274,0.951903]
[0.951903,0.952531]
[0.952531,0.953159]
[0.953159,0.953788]
[0.953788,0.954416]
[0.954416,0.955044]
[0.955044,0.955672]
[0.955672,0.956301]
[0.956301,0.956929]
[0.956929,0.957557]
[0.957557,0.958186]
[0.958186,0.958814]
[0.958814,0.959442]
[0.959442,0.960071]
[0.960071,0.960699]
[0.960699,0.961327]
[0.961327,0.961956]
[0.961956,0.962584]
[0.962584,0.963212]
[0.963212,0.963841]
[0.963841,0.964469]
[0.964469,0.965097]
[0.965097,0.965726]
[0.965726,0.966354]
[0.966354,0.966982]
[0.966982,0.967611]
[0.967611,0.968239]
[0.968239,0.968867]
[0.968867,0.969496]
[0.969495,0.970124]
[0.970124,0.970752]
[0.970752,0.97138]
[0.97138,0.972009]
[0.972009,0.972637]
[0.972637,0.973265]
[0.973265,0.973894]
[0.973894,0.974522]
[0.974522,0.97515]
[0.97515,0.975779]
[0.975779,0.976407]
[0.976407,0.977035]
[0.977035,0.977664]
[0.977664,0.978292]
[0.978292,0.97892]
[0.97892,0.979549]
[0.979549,0.980177]
[0.980177,0.980805]
[0.980805,0.981434]
[0.981434,0.982062]
[0.982062,0.98269]
[0.98269,0.983319]
[0.983319,0.983947]
[0.983947,0.984575]
[0.984575,0.985203]
[0.985203,0.985832]
[0.985832,0.98646]
[0.98646,0.987088]
[0.987088,0.987717]
[0.987717,0.988345]
[0.988345,0.988973]
[0.988973,0.989602]
[0.989602,0.99023]
[0.99023,0.990858]
[0.990858,0.991487]
[0.991487,0.992115]
[0.992115,0.992743]
[0.992743,0.993372]
[0.993372,0.994]
[0.994,0.994628]
[0.994628,0.995257]
[0.995257,0.995885]
[0.995885,0.996513]
[0.996513,0.997142]
[0.997142,0.99777]
[0.99777,0.998398]
[0.998398,0.999026]
[0.999026,0.999655]
[0.999655,1.00028]
[1.00028,1.00091]
[1.00091,1.00154]
[1.00154,1.00217]
[1.00217,1.0028]
[1.0028,1.00342]
[1.00342,1.00405]
[1.00405,1.00468]
[1.00468,1.00531]
[1.00531,1.00594]
[1.00594,1.00657]
[1.00657,1.00719]
[1.00719,1.00782]
[1.00782,1.00845]
[1.00845,1.00908]
[1.00908,1.00971]
[1.00971,1.01034]
[1.01034,1.01096]
[1.01096,1.01159]
[1.01159,1.01222]
[1.01222,1.01285]
[1.01285,1.01348]
[1.01348,1.01411]
[1.01411,1.01473]
[1.01473,1.01536]
[1.01536,1.01599]
[1.01599,1.01662]
[1.01662,1.01725]
[1.01725,1.01788]
[1.01788,1.0185]
[1.0185,1.01913]
[1.01913,1.01976]
[1.01976,1.02039]
[1.02039,1.02102]
[1.02102,1.02165]
[1.02165,1.02227]
[1.02227,1.0229]
[1.0229,1.02353]
[1.02353,1.02416]
[1.02416,1.02479]
[1.02479,1.02542]
[1.02542,1.02604]
[1.02604,1.02667]
[1.02667,1.0273]
[1.0273,1.02793]
[1.02793,1.02856]
[1.02856,1.02919]
[1.02919,1.02981]
[1.02981,1.03044]
[1.03044,1.03107]
[1.03107,1.0317]
[1.0317,1.03233]
[1.03233,1.03296]
[1.03296,1.03358]
[1.03358,1.03421]
[1.03421,1.03484]
[1.03484,1.03547]
[1.03547,1.0361]
[1.0361,1.03673]
