[-7.82354,-7.0737]
[-7.8406,-7.08961]
[-7.85771,-7.10557]
[-7.8749,-7.1216]
[-7.89215,-7.13768]
[-7.90946,-7.15382]
[-7.92684,-7.17003]
[-7.94429,-7.18629]
[-7.96181,-7.20261]
[-7.97939,-7.21899]
[-7.99704,-7.23542]
[-8.01476,-7.25192]
[-8.03254,-7.26849]
[-8.0504,-7.28511]
[-8.06832,-7.30179]
[-8.08632,-7.31853]
[-8.10438,-7.33534]
[-8.12252,-7.35221]
[-8.14072,-7.36914]
[-8.159,-7.38614]
[-8.17734,-7.40319]
[-8.19576,-7.42032]
[-8.21425,-7.4375]
[-8.23282,-7.45475]
[-8.25145,-7.47206]
[-8.27016,-7.48944]
[-8.28895,-7.50689]
[-8.30781,-7.5244]
[-8.32674,-7.54197]
[-8.34575,-7.55962]
[-8.36483,-7.57733]
[-8.38399,-7.5951]
[-8.40323,-7.61295]
[-8.42254,-7.63086]
[-6.84009,-5.95053]
[-6.82433,-5.93649]
[-6.80863,-5.9225]
[-6.793,-5.90857]
[-6.77744,-5.89469]
[-6.76194,-5.88087]
[-6.74651,-5.86711]
[-6.73115,-5.8534]
[-6.71584,-5.83974]
[-6.70061,-5.82614]
[-6.68543,-5.8126]
[-6.67032,-5.7991]
[-6.65527,-5.78566]
[-6.64029,-5.77227]
[-6.62536,-5.75894]
[-6.6105,-5.74566]
[-6.5957,-5.73243]
[-6.58097,-5.71925]
[-6.56629,-5.70612]
[-6.55167,-5.69304]
[-6.53712,-5.68002]
[-6.52262,-5.66705]
[-6.50818,-5.65412]
[-6.4938,-5.64125]
[-6.47948,-5.62842]
[-6.46522,-5.61565]
[-6.45102,-5.60293]
[-6.43688,-5.59025]
[-6.42279,-5.57762]
[-6.40876,-5.56505]
[-6.39479,-5.55252]
[-6.38087,-5.54003]
[-6.36701,-5.5276]
[-6.35321,-5.51521]
[-6.33946,-5.50288]
[-6.32576,-5.49058]
[-6.31213,-5.47834]
[-6.29854,-5.46614]
[-6.28501,-5.45399]
[-6.27154,-5.44188]
[-6.25812,-5.42982]
[-6.24475,-5.41781]
[-6.23143,-5.40584]
[-6.21817,-5.39391]
[-6.20496,-5.38203]
[-6.19181,-5.3702]
[-6.1787,-5.35841]
[-6.16565,-5.34666]
[-6.15265,-5.33496]
[-6.1397,-5.3233]
