[-5.15341,-4.56572]
[-5.15545,-4.56779]
[-5.15749,-4.56986]
[-5.15953,-4.57193]
[-5.16157,-4.574]
[-5.16361,-4.57607]
[-5.16565,-4.57814]
[-5.16769,-4.58022]
[-5.16974,-4.58229]
[-5.17178,-4.58437]
[-5.17383,-4.58644]
[-5.17588,-4.58852]
[-5.17793,-4.5906]
[-5.17998,-4.59268]
[-5.18203,-4.59476]
[-5.18408,-4.59685]
[-5.18613,-4.59893]
[-5.18818,-4.60101]
[-5.19024,-4.6031]
[-5.19229,-4.60519]
[-5.19435,-4.60727]
[-5.1964,-4.60936]
[-5.19846,-4.61145]
[-5.20052,-4.61354]
[-5.20258,-4.61563]
[-5.20464,-4.61772]
[-5.2067,-4.61982]
[-5.20876,-4.62191]
[-5.21083,-4.62401]
[-5.21289,-4.6261]
[-5.21496,-4.6282]
[-5.21702,-4.6303]
[-5.21909,-4.6324]
[-5.22116,-4.6345]
[-5.22323,-4.6366]
[-5.2253,-4.6387]
[-5.22737,-4.64081]
[-5.22944,-4.64291]
[-5.23152,-4.64502]
[-5.23359,-4.64712]
[-5.23566,-4.64923]
[-5.23774,-4.65134]
[-5.23982,-4.65345]
[-5.24189,-4.65556]
[-5.24397,-4.65767]
[-5.24605,-4.65979]
[-5.24813,-4.6619]
[-5.25021,-4.66401]
[-5.2523,-4.66613]
[-5.25438,-4.66825]
[-5.25647,-4.67036]
[-5.25855,-4.67248]
[-5.26064,-4.6746]
[-5.26272,-4.67672]
[-5.26481,-4.67885]
[-5.2669,-4.68097]
[-5.26899,-4.68309]
[-5.27108,-4.68522]
[-5.27318,-4.68735]
[-5.27527,-4.68947]
[-5.27736,-4.6916]
[-5.27946,-4.69373]
[-5.28155,-4.69586]
[-5.28365,-4.69799]
[-5.28575,-4.70012]
[-5.28785,-4.70226]
[-5.28995,-4.70439]
[-5.29205,-4.70653]
[-5.29415,-4.70866]
[-5.29625,-4.7108]
[-5.29836,-4.71294]
[-5.30046,-4.71508]
[-5.30257,-4.71722]
[-5.30467,-4.71936]
[-5.30678,-4.72151]
[-5.30889,-4.72365]
[-5.311,-4.7258]
[-5.31311,-4.72794]
[-5.31522,-4.73009]
[-5.31734,-4.73224]
[-5.31945,-4.73439]
[-5.32156,-4.73654]
[-5.32368,-4.73869]
[-5.3258,-4.74084]
[-5.32791,-4.74299]
[-5.33003,-4.74515]
[-5.33215,-4.7473]
[-5.33427,-4.74946]
[-5.33639,-4.75162]
[-5.33851,-4.75378]
[-5.34064,-4.75594]
[-5.34276,-4.7581]
[-5.34489,-4.76026]
[-5.34701,-4.76242]
[-5.34914,-4.76459]
[-5.35127,-4.76675]
[-5.3534,-4.76892]
[-5.35553,-4.77108]
[-5.35766,-4.77325]
[-5.35979,-4.77542]
[-5.36193,-4.77759]
[-5.36406,-4.77976]
[-5.3662,-4.78194]
[-5.36833,-4.78411]
[-5.37047,-4.78628]
[-5.37261,-4.78846]
[-5.37475,-4.79064]
[-5.37689,-4.79281]
[-5.37903,-4.79499]
[-5.38117,-4.79717]
[-5.38331,-4.79935]
[-5.38546,-4.80154]
[-5.3876,-4.80372]
[-5.38975,-4.8059]
[-5.3919,-4.80809]
[-5.39405,-4.81028]
[-5.39619,-4.81246]
[-5.39834,-4.81465]
[-5.4005,-4.81684]
[-5.40265,-4.81903]
[-5.4048,-4.82122]
[-5.40696,-4.82342]
[-5.40911,-4.82561]
[-5.41127,-4.82781]
[-5.41342,-4.83]
[-5.41558,-4.8322]
[-5.41774,-4.8344]
[-5.4199,-4.8366]
[-5.42206,-4.8388]
[-5.42423,-4.841]
[-5.42639,-4.8432]
[-5.42855,-4.84541]
[-5.43072,-4.84761]
[-5.43289,-4.84982]
[-5.43505,-4.85202]
[-5.43722,-4.85423]
[-5.43939,-4.85644]
[-5.44156,-4.85865]
[-5.44373,-4.86086]
[-5.44591,-4.86308]
[-5.44808,-4.86529]
[-5.45025,-4.8675]
[-5.45243,-4.86972]
[-5.45461,-4.87194]
[-5.45678,-4.87416]
[-5.45896,-4.87637]
[-5.46114,-4.87859]
[-5.46332,-4.88082]
[-5.4655,-4.88304]
[-5.46769,-4.88526]
[-5.46987,-4.88749]
[-5.47205,-4.88971]
[-5.47424,-4.89194]
[-5.47643,-4.89417]
[-5.47861,-4.8964]
[-5.4808,-4.89863]
[-5.48299,-4.90086]
[-5.48518,-4.90309]
[-5.48738,-4.90532]
[-5.48957,-4.90756]
[-5.49176,-4.90979]
[-5.49396,-4.91203]
[-5.49615,-4.91427]
[-5.49835,-4.91651]
[-5.50055,-4.91875]
[-5.50275,-4.92099]
[-5.50495,-4.92323]
[-5.50715,-4.92548]
[-5.50935,-4.92772]
[-5.51155,-4.92997]
[-5.51376,-4.93221]
[-5.51596,-4.93446]
[-5.51817,-4.93671]
[-5.52038,-4.93896]
[-5.52259,-4.94121]
[-5.5248,-4.94346]
[-5.52701,-4.94572]
[-5.52922,-4.94797]
[-5.53143,-4.95023]
[-5.53364,-4.95248]
[-5.53586,-4.95474]
[-5.53807,-4.957]
[-5.54029,-4.95926]
[-5.54251,-4.96152]
[-5.54473,-4.96379]
[-5.54695,-4.96605]
[-5.54917,-4.96832]
[-5.55139,-4.97058]
[-5.55361,-4.97285]
[-5.55584,-4.97512]
[-5.55806,-4.97739]
[-5.56029,-4.97966]
[-5.56252,-4.98193]
[-5.56474,-4.9842]
[-5.56697,-4.98647]
[-5.5692,-4.98875]
[-5.57144,-4.99103]
[-5.57367,-4.9933]
[-5.5759,-4.99558]
[-5.57814,-4.99786]
[-5.58037,-5.00014]
[-5.58261,-5.00242]
[-5.58485,-5.00471]
[-5.58709,-5.00699]
[-5.58933,-5.00928]
[-5.59157,-5.01156]
[-5.59381,-5.01385]
[-5.59605,-5.01614]
[-5.5983,-5.01843]
[-5.60054,-5.02072]
[-5.60279,-5.02301]
[-5.60503,-5.02531]
[-5.60728,-5.0276]
[-5.60953,-5.0299]
[-5.61178,-5.03219]
[-5.61403,-5.03449]
[-5.61629,-5.03679]
[-5.61854,-5.03909]
[-5.6208,-5.04139]
[-5.62305,-5.0437]
[-5.62531,-5.046]
[-5.62757,-5.0483]
[-5.62983,-5.05061]
[-5.63209,-5.05292]
[-5.63435,-5.05523]
[-5.63661,-5.05754]
[-5.63887,-5.05985]
[-5.64114,-5.06216]
[-5.6434,-5.06447]
[-5.64567,-5.06679]
[-5.64794,-5.0691]
[-5.65021,-5.07142]
[-5.65248,-5.07374]
[-5.65475,-5.07605]
[-5.65702,-5.07837]
[-5.65929,-5.0807]
[-5.66157,-5.08302]
[-5.66384,-5.08534]
[-5.66612,-5.08767]
[-5.66839,-5.08999]
[-5.67067,-5.09232]
[-5.67295,-5.09465]
[-5.67523,-5.09698]
[-5.67752,-5.09931]
[-5.6798,-5.10164]
[-5.68208,-5.10397]
[-5.68437,-5.10631]
[-5.68665,-5.10864]
[-5.68894,-5.11098]
[-5.69123,-5.11332]
[-5.69352,-5.11566]
[-5.69581,-5.118]
[-5.6981,-5.12034]
[-5.70039,-5.12268]
[-5.70269,-5.12502]
[-5.70498,-5.12737]
[-5.70728,-5.12971]
[-5.70957,-5.13206]
[-5.71187,-5.13441]
[-5.71417,-5.13676]
[-5.71647,-5.13911]
[-5.71877,-5.14146]
[-5.72108,-5.14382]
[-5.72338,-5.14617]
[-5.72568,-5.14852]
[-5.72799,-5.15088]
[-5.7303,-5.15324]
[-5.7326,-5.1556]
[-5.73491,-5.15796]
[-5.73722,-5.16032]
[-5.73953,-5.16268]
[-5.74185,-5.16505]
[-5.74416,-5.16741]
[-5.74648,-5.16978]
[-5.74879,-5.17215]
[-5.75111,-5.17452]
[-5.75343,-5.17689]
[-5.75574,-5.17926]
[-5.75807,-5.18163]
[-5.76039,-5.184]
[-5.76271,-5.18638]
[-5.76503,-5.18875]
[-5.76736,-5.19113]
[-5.76968,-5.19351]
[-5.77201,-5.19589]
[-5.77434,-5.19827]
[-5.77667,-5.20065]
[-5.779,-5.20303]
[-5.78133,-5.20542]
[-5.78366,-5.2078]
[-5.78599,-5.21019]
[-5.78833,-5.21258]
[-5.79066,-5.21497]
[-5.793,-5.21736]
[-5.79534,-5.21975]
[-5.79768,-5.22214]
[-5.80002,-5.22454]
[-5.80236,-5.22693]
[-5.8047,-5.22933]
[-5.80705,-5.23173]
[-5.80939,-5.23413]
[-5.81174,-5.23653]
[-5.81408,-5.23893]
[-5.81643,-5.24133]
[-5.81878,-5.24374]
[-5.82113,-5.24614]
[-5.82348,-5.24855]
[-5.82584,-5.25096]
[-5.82819,-5.25336]
[-5.83054,-5.25577]
[-5.8329,-5.25819]
[-5.83526,-5.2606]
[-5.83762,-5.26301]
[-5.83998,-5.26543]
[-5.84234,-5.26784]
[-5.8447,-5.27026]
[-5.84706,-5.27268]
[-5.84942,-5.2751]
[-5.85179,-5.27752]
[-5.85416,-5.27994]
[-5.85652,-5.28237]
[-5.85889,-5.28479]
[-5.86126,-5.28722]
[-5.86363,-5.28965]
[-5.866,-5.29208]
[-5.86838,-5.29451]
[-5.87075,-5.29694]
[-5.87313,-5.29937]
[-5.8755,-5.3018]
[-5.87788,-5.30424]
[-5.88026,-5.30667]
[-5.88264,-5.30911]
[-5.88502,-5.31155]
[-5.8874,-5.31399]
[-5.88979,-5.31643]
[-5.89217,-5.31887]
[-5.89456,-5.32132]
[-5.89695,-5.32376]
[-5.89933,-5.32621]
[-5.90172,-5.32866]
[-5.90411,-5.33111]
[-5.9065,-5.33356]
[-5.9089,-5.33601]
[-5.91129,-5.33846]
[-5.91369,-5.34091]
[-5.91608,-5.34337]
[-5.91848,-5.34583]
[-5.92088,-5.34828]
[-5.92328,-5.35074]
[-5.92568,-5.3532]
[-5.92808,-5.35566]
[-5.93048,-5.35813]
[-5.93289,-5.36059]
[-5.93529,-5.36306]
[-5.9377,-5.36552]
[-5.94011,-5.36799]
[-5.94252,-5.37046]
[-5.94493,-5.37293]
[-5.94734,-5.3754]
[-5.94975,-5.37787]
[-5.95216,-5.38035]
[-5.95458,-5.38282]
[-5.957,-5.3853]
[-5.95941,-5.38778]
[-5.96183,-5.39026]
[-5.96425,-5.39274]
[-5.96667,-5.39522]
[-5.96909,-5.3977]
[-5.97152,-5.40019]
[-5.97394,-5.40267]
[-5.97637,-5.40516]
[-5.97879,-5.40765]
[-5.98122,-5.41014]
[-5.98365,-5.41263]
[-5.98608,-5.41512]
[-5.98851,-5.41761]
[-5.99094,-5.42011]
[-5.99338,-5.42261]
[-5.99581,-5.4251]
[-5.99825,-5.4276]
[-6.00069,-5.4301]
[-6.00312,-5.4326]
[-6.00556,-5.43511]
[-6.008,-5.43761]
[-6.01045,-5.44011]
[-6.01289,-5.44262]
[-6.01533,-5.44513]
[-6.01778,-5.44764]
[-6.02023,-5.45015]
[-6.02267,-5.45266]
[-6.02512,-5.45517]
[-6.02757,-5.45769]
[-6.03002,-5.4602]
[-6.03248,-5.46272]
[-6.03493,-5.46524]
[-6.03739,-5.46776]
[-6.03984,-5.47028]
[-6.0423,-5.4728]
[-6.04476,-5.47532]
[-6.04722,-5.47785]
[-6.04968,-5.48037]
[-6.05214,-5.4829]
[-6.05461,-5.48543]
[-6.05707,-5.48796]
[-6.05954,-5.49049]
[-6.062,-5.49302]
[-6.06447,-5.49556]
[-6.06694,-5.49809]
[-6.06941,-5.50063]
[-6.07188,-5.50317]
[-6.07436,-5.50571]
[-6.07683,-5.50825]
[-6.07931,-5.51079]
[-6.08178,-5.51333]
[-6.08426,-5.51588]
[-6.08674,-5.51842]
[-6.08922,-5.52097]
[-6.0917,-5.52352]
[-6.09419,-5.52607]
[-6.09667,-5.52862]
[-6.09916,-5.53117]
[-6.10164,-5.53373]
[-6.10413,-5.53628]
[-6.10662,-5.53884]
[-6.10911,-5.5414]
[-6.1116,-5.54396]
[-6.11409,-5.54652]
[-6.11659,-5.54908]
[-6.11908,-5.55164]
